,t-SNE position x,t-SNE position y,Which t-SNE
20180424_sample_2,41.64,17.39,Excitatory
20180424_sample_3,39.98,22.91,Excitatory
20180424_sample_6,25.48,24.27,Excitatory
20180425_sample_2,39.27,20.38,Excitatory
20180425_sample_3,-26.61,33.84,Pvalb/Sst
20180425_sample_4,40.71,18.92,Excitatory
20180425_sample_5,,,           
20180425_sample_7,-29.72,19.75,Pvalb/Sst
20180425_sample_8,-29.68,36.13,Lamp5/Vip
20180425_sample_9,39.88,19.12,Excitatory
20180426_sample_1,2.38,-11.21,Excitatory
20180426_sample_3,40.86,21.82,Excitatory
20180426_sample_4,40.11,14.95,Excitatory
20180426_sample_5,-47.05,23.71,Pvalb/Sst
20180426_sample_7,-3.71,-22.16,Excitatory
20180426_sample_9,-27.76,28.2,Pvalb/Sst
20180501_sample_2,41.41,17.8,Excitatory
20180501_sample_3,40.05,18.95,Excitatory
20180501_sample_4,26.22,21.71,Excitatory
20180501_sample_5,29.37,17.33,Excitatory
20180501_sample_6,,,           
20180501_sample_7,,,           
20180501_sample_8,36.15,4.57,Lamp5/Vip
20180502_sample_1,,,           
20180502_sample_2,,,           
20180502_sample_3,-4.05,-20.6,Excitatory
20180502_sample_4,38.69,14.88,Excitatory
20180508_sample_1,-28.21,15.83,Pvalb/Sst
20180508_sample_2,1.1,22.17,Excitatory
20180508_sample_3,39.71,15.23,Excitatory
20180508_sample_4,37.09,21.0,Excitatory
20180509_sample_1,,,           
20180509_sample_2,39.97,25.9,Excitatory
20180509_sample_3,40.42,18.72,Excitatory
20180509_sample_4,43.05,17.71,Excitatory
20180509_sample_5,40.22,21.8,Excitatory
20180509_sample_7,-5.67,9.32,Excitatory
20180509_sample_9,36.67,28.82,Excitatory
20180510_sample_2,-61.36,18.41,Pvalb/Sst
20180510_sample_3,41.51,21.15,Excitatory
20180510_sample_4,40.19,20.49,Excitatory
20180510_sample_5,-2.92,-2.45,Excitatory
20180510_sample_9,14.37,-11.92,Excitatory
20180515_sample_1,-42.82,20.21,Pvalb/Sst
20180515_sample_6,-50.32,-2.18,Pvalb/Sst
20180522_sample_1,41.69,16.71,Excitatory
20180522_sample_2,40.42,20.86,Excitatory
20180522_sample_3,-2.17,-17.81,Excitatory
20180522_sample_4,-0.83,22.5,Excitatory
20180522_sample_5,-29.23,16.05,Pvalb/Sst
20180522_sample_6,-42.38,36.21,Excitatory
20180522_sample_7,40.2,19.02,Excitatory
20180524_sample_5,,,           
20180524_sample_8,2.67,-15.14,Excitatory
20180524_sample_9,-41.55,-29.85,Pvalb/Sst
20180529_sample_3,50.8,-9.26,Excitatory
20180608_sample_1,12.74,56.35,Lamp5/Vip
20180608_sample_2,-44.52,-35.8,Pvalb/Sst
20180608_sample_3,-6.26,15.19,Excitatory
20180608_sample_5,-8.91,-23.77,Pvalb/Sst
20180619_sample_3,-25.66,27.29,Pvalb/Sst
20180619_sample_5,34.96,24.08,Excitatory
20180619_sample_7,36.86,22.96,Lamp5/Vip
20180621_sample_1,31.4,25.06,Excitatory
20180621_sample_2,32.98,38.56,Excitatory
20180621_sample_3,,,           
20180621_sample_4,41.15,22.62,Excitatory
20180621_sample_5,-41.33,16.78,Lamp5/Vip
20180621_sample_7,-25.78,23.25,Pvalb/Sst
20180621_sample_8,-43.29,20.61,Pvalb/Sst
20180628_sample_2,-56.52,16.84,Pvalb/Sst
20180628_sample_3,-29.47,15.88,Pvalb/Sst
20180628_sample_4,,,           
20180628_sample_6,-33.09,21.14,Pvalb/Sst
20180628_sample_7,-10.05,42.38,Lamp5/Vip
20180703_sample_1,-29.15,28.3,Pvalb/Sst
20180703_sample_2,2.21,19.37,Excitatory
20180703_sample_3,,,           
20180704_sample_1,-33.88,22.39,Pvalb/Sst
20180704_sample_2,-34.9,24.99,Pvalb/Sst
20180704_sample_3,-43.29,20.54,Pvalb/Sst
20180704_sample_4,-49.95,7.58,Excitatory
20180704_sample_5,-42.69,21.44,Pvalb/Sst
20180705_sample_1,-22.22,-9.84,Pvalb/Sst
20180705_sample_4,-44.16,-33.13,Pvalb/Sst
20180709_sample_2,40.32,20.39,Excitatory
20180709_sample_3,43.19,-9.98,Lamp5/Vip
20180709_sample_4,41.47,20.0,Excitatory
20180709_sample_6,-5.53,-13.16,Excitatory
20180710_sample_1,-59.34,16.98,Pvalb/Sst
20180710_sample_2,-23.47,19.45,Pvalb/Sst
20180710_sample_3,-27.91,24.27,Pvalb/Sst
20180710_sample_5,-30.48,29.71,Pvalb/Sst
20180711_sample_1,-28.13,24.99,Pvalb/Sst
20180711_sample_2,19.44,20.88,Pvalb/Sst
20180711_sample_3,17.6,33.51,Pvalb/Sst
20180711_sample_4,15.15,39.5,Pvalb/Sst
20180712_sample_2,,,           
20180712_sample_3,,,           
20180712_sample_5,-35.02,21.26,Pvalb/Sst
20180712_sample_11,-29.17,16.03,Pvalb/Sst
20180712_sample_12,-33.04,10.13,Pvalb/Sst
20180712_sample_13,27.9,26.36,Excitatory
20180712_sample_14,-36.79,16.43,Pvalb/Sst
20180712_sample_15,-55.39,10.16,Pvalb/Sst
20180717_sample_1,-21.39,-20.6,Pvalb/Sst
20180717_sample_2,-14.08,45.53,Lamp5/Vip
20180717_sample_3,-19.65,33.35,Pvalb/Sst
20180717_sample_4,-42.11,22.96,Pvalb/Sst
20180717_sample_6,-39.58,-1.89,Pvalb/Sst
20180717_sample_7,-42.25,37.96,Excitatory
20180718_sample_2,-29.95,24.95,Pvalb/Sst
20180718_sample_3,-52.8,8.43,Pvalb/Sst
20180718_sample_4,-42.47,-31.22,Pvalb/Sst
20180719_sample_1,-51.19,19.76,Pvalb/Sst
20180719_sample_4,-31.01,-11.69,Pvalb/Sst
20180720_sample_2,,,           
20180720_sample_3,-30.89,22.0,Pvalb/Sst
20180720_sample_5,35.55,0.8,Lamp5/Vip
20180725_sample_3,42.99,8.53,Excitatory
20180725_sample_4,,,           
20180725_sample_6,-28.26,24.03,Pvalb/Sst
20180725_sample_7,41.67,22.4,Excitatory
20180725_sample_9,50.13,-2.29,Lamp5/Vip
20180726_sample_3,-30.91,18.97,Pvalb/Sst
20180726_sample_4,-54.51,16.84,Pvalb/Sst
20180726_sample_5,-52.38,17.57,Pvalb/Sst
20180726_sample_6,-23.85,28.9,Pvalb/Sst
20180726_sample_7,-47.44,-35.28,Pvalb/Sst
20180817_sample_2,-25.02,21.86,Pvalb/Sst
20180817_sample_3,-21.65,24.79,Pvalb/Sst
20180817_sample_4,-58.59,18.57,Pvalb/Sst
20180817_sample_5,-27.87,27.86,Pvalb/Sst
20180817_sample_6,-1.71,-20.54,Excitatory
20180817_sample_7,-29.48,24.88,Pvalb/Sst
20180820_sample_1,16.22,28.89,Pvalb/Sst
20180820_sample_2,-11.53,45.15,Excitatory
20180820_sample_3,16.66,33.31,Pvalb/Sst
20180820_sample_4,16.46,33.23,Pvalb/Sst
20180820_sample_5,-0.99,30.55,Pvalb/Sst
20180820_sample_6,25.28,25.19,Excitatory
20180820_sample_7,-1.0,22.88,Pvalb/Sst
20180822_sample_1,-58.41,16.84,Pvalb/Sst
20180822_sample_2,-45.14,-11.64,Pvalb/Sst
20180822_sample_3,-25.88,16.86,Pvalb/Sst
20180822_sample_4,-35.82,-6.56,Pvalb/Sst
20180822_sample_6,-31.96,22.42,Pvalb/Sst
20180822_sample_7,-31.26,25.88,Pvalb/Sst
20180828_sample_2,-35.87,25.39,Pvalb/Sst
20180828_sample_3,-36.44,18.42,Pvalb/Sst
20180828_sample_4,39.15,19.38,Excitatory
20180828_sample_5,-60.05,18.72,Pvalb/Sst
20180828_sample_6,-37.14,19.48,Pvalb/Sst
20180828_sample_7,,,           
20180828_sample_8,39.35,24.01,Excitatory
20180829_sample_1,8.95,32.85,Pvalb/Sst
20180829_sample_2,19.51,38.66,Pvalb/Sst
20180829_sample_3,14.69,35.11,Pvalb/Sst
20180829_sample_4,18.57,38.28,Pvalb/Sst
20180829_sample_5,58.78,10.55,Pvalb/Sst
20180829_sample_6,16.3,33.65,Pvalb/Sst
20180829_sample_7,9.91,26.03,Pvalb/Sst
20180829_sample_8,38.32,36.08,Excitatory
20180830_sample_1,-58.1,18.85,Pvalb/Sst
20180830_sample_2,-33.84,17.51,Pvalb/Sst
20180830_sample_5,-30.35,24.52,Pvalb/Sst
20180830_sample_6,-41.84,-8.06,Pvalb/Sst
20180904_sample_1,-38.33,-8.86,Pvalb/Sst
20180904_sample_2,-30.42,15.82,Pvalb/Sst
20180904_sample_3,-51.86,12.47,Pvalb/Sst
20180904_sample_4,-10.04,-23.74,Pvalb/Sst
20180904_sample_5,-35.25,24.73,Pvalb/Sst
20180904_sample_6,-36.5,1.35,Pvalb/Sst
20180904_sample_7,-20.41,26.32,Pvalb/Sst
20180904_sample_9,-29.91,26.99,Pvalb/Sst
20180905_sample_1,6.5,31.94,Pvalb/Sst
20180905_sample_2,14.86,30.97,Pvalb/Sst
20180910_sample_2,52.33,-6.63,Pvalb/Sst
20180910_sample_3,14.32,-18.56,Pvalb/Sst
20180911_sample_1,27.87,61.99,Pvalb/Sst
20180911_sample_2,1.22,-39.99,Pvalb/Sst
20180911_sample_3,15.61,35.89,Pvalb/Sst
20180911_sample_5,12.52,11.06,Pvalb/Sst
20180911_sample_6,10.22,-46.02,Pvalb/Sst
20180912_sample_2,-25.1,24.75,Pvalb/Sst
20180912_sample_3,-48.12,-33.79,Pvalb/Sst
20180912_sample_6,-29.11,28.13,Pvalb/Sst
20180913_sample_2,,,           
20180917_sample_1,15.68,-21.53,Pvalb/Sst
20180917_sample_2,-13.8,-24.56,Pvalb/Sst
20180917_sample_3,44.22,16.99,Excitatory
20180917_sample_4,-32.77,29.0,Pvalb/Sst
20180917_sample_5,5.65,1.75,Pvalb/Sst
20180918_sample_1,-37.62,-14.1,Lamp5/Vip
20180918_sample_2,-39.39,-3.78,Lamp5/Vip
20180918_sample_3,-10.11,-44.4,Lamp5/Vip
20180920_sample_1,,,           
20180920_sample_2,-29.39,4.75,Pvalb/Sst
20180920_sample_3,-36.31,-1.19,Pvalb/Sst
20180920_sample_4,-58.86,19.01,Pvalb/Sst
20180921_sample_1,,,           
20180921_sample_2,-42.79,21.23,Pvalb/Sst
20180921_sample_3,-44.7,-33.1,Pvalb/Sst
20180925_sample_9,-39.86,-27.12,Pvalb/Sst
20180926_sample_1,-31.71,22.31,Pvalb/Sst
20180926_sample_3,-58.7,12.59,Pvalb/Sst
20180926_sample_4,,,           
20180926_sample_7,-33.46,24.88,Pvalb/Sst
20180926_sample_9,37.49,18.89,Excitatory
20180927_sample_1,-23.44,16.21,Pvalb/Sst
20180927_sample_2,-39.04,17.81,Pvalb/Sst
20180927_sample_3,,,           
20180927_sample_4,-37.81,-2.18,Pvalb/Sst
20180927_sample_5,-58.05,18.49,Pvalb/Sst
20180927_sample_7,-58.61,19.79,Pvalb/Sst
20180927_sample_9,42.99,19.07,Excitatory
20180927_sample_10,,,           
20181002_sample_1,,,           
20181002_sample_2,-27.89,25.1,Pvalb/Sst
20181002_sample_3,-30.45,15.82,Pvalb/Sst
20181002_sample_4,-42.79,-32.76,Pvalb/Sst
20181002_sample_5,-25.95,16.15,Pvalb/Sst
20181002_sample_6,-59.6,18.72,Pvalb/Sst
20181002_sample_7,36.29,23.92,Excitatory
20181002_sample_8,-28.77,15.72,Pvalb/Sst
20181002_sample_9,-2.65,22.99,Pvalb/Sst
20181002_sample_10,-54.38,19.43,Pvalb/Sst
20181003_sample_1,,,           
20181003_sample_2,30.04,61.98,Pvalb/Sst
20181003_sample_3,16.6,31.84,Pvalb/Sst
20181003_sample_4,17.23,26.85,Pvalb/Sst
20181003_sample_5,19.54,38.87,Pvalb/Sst
20181003_sample_6,9.48,23.89,Pvalb/Sst
20181003_sample_7,-0.39,35.33,Pvalb/Sst
20181003_sample_8,15.99,30.66,Pvalb/Sst
20181003_sample_9,-12.54,33.32,Pvalb/Sst
20181003_sample_10,-1.22,23.29,Pvalb/Sst
20181004_sample_1,,,           
20181004_sample_3,-3.54,28.81,Pvalb/Sst
20181004_sample_5,1.15,25.6,Pvalb/Sst
20181004_sample_6,20.31,33.36,Pvalb/Sst
20181004_sample_8,-9.94,29.44,Pvalb/Sst
20181009_sample_2,17.94,31.74,Pvalb/Sst
20181009_sample_3,19.33,32.47,Pvalb/Sst
20181009_sample_4,22.11,18.23,Pvalb/Sst
20181009_sample_5,10.12,32.82,Pvalb/Sst
20181009_sample_6,25.45,24.77,Excitatory
20181009_sample_7,14.08,32.51,Pvalb/Sst
20181010_sample_1,-0.06,33.68,Pvalb/Sst
20181010_sample_3,19.41,26.74,Pvalb/Sst
20181010_sample_4,16.07,30.45,Pvalb/Sst
20181010_sample_5,36.03,21.09,Excitatory
20181010_sample_6,31.42,17.67,Pvalb/Sst
20181010_sample_8,18.98,21.41,Pvalb/Sst
20181010_sample_10,26.24,7.09,Pvalb/Sst
20181011_sample_3,-9.94,29.96,Pvalb/Sst
20181011_sample_4,11.62,43.66,Pvalb/Sst
20181011_sample_8,-0.15,35.49,Pvalb/Sst
20181011_sample_9,16.52,22.37,Pvalb/Sst
20181011_sample_10,16.46,19.38,Pvalb/Sst
20181109_sample_1,18.09,30.67,Pvalb/Sst
20181109_sample_2,1.89,1.14,Pvalb/Sst
20181109_sample_3,8.45,32.86,Pvalb/Sst
20181109_sample_5,25.84,21.75,Pvalb/Sst
20181109_sample_7,18.62,37.47,Pvalb/Sst
20181109_sample_8,21.24,21.99,Pvalb/Sst
20181109_sample_9,7.72,-8.54,Pvalb/Sst
20181109_sample_10,19.44,21.22,Pvalb/Sst
20181112_sample_1,,,           
20181112_sample_4,13.71,-3.75,Pvalb/Sst
20181112_sample_5,,,           
20181112_sample_6,15.6,-14.39,Pvalb/Sst
20181112_sample_8,61.52,6.54,Pvalb/Sst
20181112_sample_11,56.27,-10.15,Pvalb/Sst
20181114_sample_1,-22.27,27.87,Pvalb/Sst
20181114_sample_2,-30.4,-40.73,Pvalb/Sst
20181114_sample_4,-42.97,-33.34,Pvalb/Sst
20181116_sample_2,-33.34,23.71,Pvalb/Sst
20181116_sample_3,-55.05,17.8,Pvalb/Sst
20181116_sample_4,-49.61,-35.59,Pvalb/Sst
20181116_sample_5,-58.98,18.61,Pvalb/Sst
20181116_sample_7,,,           
20181116_sample_10,,,           
20181116_sample_12,-43.06,-32.64,Pvalb/Sst
20181121_sample_1,14.84,30.46,Pvalb/Sst
20181121_sample_2,20.13,21.92,Pvalb/Sst
20181121_sample_3,-19.3,30.93,Pvalb/Sst
20181121_sample_4,,,           
20181121_sample_5,15.14,36.67,Pvalb/Sst
20181121_sample_6,-2.81,22.99,Pvalb/Sst
20181121_sample_7,12.39,18.61,Pvalb/Sst
20181126_sample_2,11.12,-32.81,Pvalb/Sst
20181126_sample_6,29.6,59.81,Pvalb/Sst
20181127_sample_1,15.83,32.0,Pvalb/Sst
20181127_sample_3,17.41,43.6,Pvalb/Sst
20181127_sample_4,18.53,31.36,Pvalb/Sst
20181127_sample_5,15.61,32.51,Pvalb/Sst
20181127_sample_7,29.79,61.73,Pvalb/Sst
20181129_sample_1,55.5,-8.24,Pvalb/Sst
20181129_sample_2,,,           
20181129_sample_3,29.6,60.22,Pvalb/Sst
20181129_sample_4,15.3,32.91,Pvalb/Sst
20181129_sample_5,7.84,0.95,Pvalb/Sst
20181129_sample_6,37.31,-2.6,Pvalb/Sst
20181203_sample_2,53.18,-5.85,Pvalb/Sst
20181203_sample_3,7.11,30.5,Pvalb/Sst
20181203_sample_4,6.32,-15.95,Pvalb/Sst
20181203_sample_5,17.44,36.19,Pvalb/Sst
20181203_sample_6,-22.27,-13.99,Pvalb/Sst
20181203_sample_7,13.22,32.63,Pvalb/Sst
20181203_sample_8,9.72,-7.57,Pvalb/Sst
20181203_sample_9,11.31,46.51,Pvalb/Sst
20181203_sample_10,,,           
20181205_sample_1,18.7,32.3,Pvalb/Sst
20181205_sample_2,16.11,23.93,Pvalb/Sst
20181207_sample_1,-36.05,24.83,Pvalb/Sst
20181207_sample_2,-45.75,-10.92,Pvalb/Sst
20181207_sample_3,-23.26,26.31,Pvalb/Sst
20181207_sample_4,-56.67,9.24,Pvalb/Sst
20181207_sample_5,-20.45,33.06,Pvalb/Sst
20181207_sample_6,,,           
20181207_sample_7,-59.68,18.61,Pvalb/Sst
20181208_sample_1,,,           
20181208_sample_2,16.31,26.54,Pvalb/Sst
20181208_sample_3,16.65,35.28,Pvalb/Sst
20181208_sample_4,16.22,5.85,Pvalb/Sst
20181208_sample_5,14.94,40.92,Pvalb/Sst
20181208_sample_6,18.61,36.63,Pvalb/Sst
20181208_sample_7,12.75,32.84,Pvalb/Sst
20181208_sample_8,19.71,22.29,Pvalb/Sst
20181208_sample_9,59.23,-1.65,Pvalb/Sst
20181208_sample_10,17.0,-5.49,Pvalb/Sst
20181211_sample_1,-43.36,-36.48,Excitatory
20181211_sample_2,-25.54,25.39,Pvalb/Sst
20181211_sample_4,-23.26,20.34,Pvalb/Sst
20181211_sample_5,,,           
20181211_sample_6,-24.83,23.94,Pvalb/Sst
20181211_sample_7,-29.35,-15.95,Pvalb/Sst
20181211_sample_8,-24.81,-41.09,Pvalb/Sst
20181211_sample_9,-28.26,29.91,Pvalb/Sst
20181213_sample_1,48.14,-3.05,Pvalb/Sst
20181213_sample_2,41.44,-12.38,Pvalb/Sst
20181213_sample_3,48.1,-8.82,Pvalb/Sst
20181213_sample_4,9.65,-46.33,Pvalb/Sst
20181213_sample_5,0.34,22.51,Excitatory
20181213_sample_6,4.91,3.18,Pvalb/Sst
20181213_sample_7,53.73,-6.11,Pvalb/Sst
20181214_sample_1,,,           
20181214_sample_2,21.03,24.41,Pvalb/Sst
20190108_sample_1,-23.01,23.12,Pvalb/Sst
20190108_sample_2,-30.1,25.67,Lamp5/Vip
20190108_sample_3,25.97,25.55,Excitatory
20190108_sample_5,-34.98,-20.05,Lamp5/Vip
20190108_sample_6,52.4,-17.3,Lamp5/Vip
20190109_sample_2,12.09,28.22,Pvalb/Sst
20190110_sample_1,26.29,11.44,Pvalb/Sst
20190110_sample_3,60.76,0.5,Pvalb/Sst
20190110_sample_4,6.2,-46.28,Pvalb/Sst
20190110_sample_6,19.35,-11.92,Excitatory
20190110_sample_7,40.0,18.83,Excitatory
20190117_sample_1,-40.45,14.17,Lamp5/Vip
20190117_sample_2,12.76,-9.42,Excitatory
20190117_sample_3,17.96,38.51,Pvalb/Sst
20190117_sample_4,38.79,-1.6,Excitatory
20190117_sample_5,17.82,31.52,Pvalb/Sst
20190122_sample_1,-13.88,-22.39,Pvalb/Sst
20190122_sample_2,25.27,24.35,Excitatory
20190122_sample_3,-39.38,1.09,Pvalb/Sst
20190122_sample_5,-35.82,24.37,Pvalb/Sst
20190122_sample_6,43.46,38.44,Excitatory
20190122_sample_9,-31.19,15.84,Pvalb/Sst
20190122_sample_10,-44.1,-27.28,Pvalb/Sst
20190122_sample_11,,,           
20190122_sample_12,-46.94,13.39,Pvalb/Sst
20190122_sample_13,-49.61,-35.59,Pvalb/Sst
